sigma,legs,seed,fix_mu,fitted,darts,mu_y
8.0,25,10,True,6.84318218674488,144,103.0
8.0,25,11,False,8.58241522735715,141,101.31001786129357
8.0,25,11,True,8.722546845280343,141,103.0
8.0,50,0,False,7.908101196482814,294,103.15105928307936
8.0,50,0,True,7.9038968312843325,294,103.0
8.0,50,1,False,8.184434719125568,312,104.68353560158047
8.0,50,1,True,8.145426869229535,312,103.0
8.0,50,2,False,6.926618051780631,291,105.89017703497635
8.0,50,2,True,7.125679902301677,291,103.0
8.0,50,3,False,8.377739591038091,336,105.53136947830353
8.0,50,3,True,8.332337073760174,336,103.0
8.0,50,4,False,7.843644318137603,324,104.60391888202554
8.0,50,4,True,7.812476001648295,324,103.0
8.0,50,5,False,8.478575257461781,318,102.13478709760801
8.0,50,5,True,8.538117989722405,318,103.0
8.0,50,6,False,8.123725212835177,321,102.92819469203818
8.0,50,6,True,8.135509384183493,321,103.0
8.0,50,7,False,7.544273572026399,297,102.2023784969662
8.0,50,7,True,7.699173239059065,297,103.0
8.0,50,8,False,8.682523913597258,333,105.37693817070053
8.0,50,8,True,8.624398910869232,333,103.0
8.0,50,9,False,7.565683377181647,309,99.84255817520415
8.0,50,9,True,7.955033512370924,309,103.0
8.0,50,10,False,8.071008687482212,330,103.24173578753832
8.0,50,10,True,8.1269673049036,330,103.0
8.0,50,11,False,7.7854305167848,273,103.4512473132035
8.0,50,11,True,7.772298453363047,273,103.0
8.0,100,0,False,7.578784000197377,600,101.58193606966105
8.0,100,0,True,7.702541798309949,600,103.0
8.0,100,1,False,7.194844408857544,597,105.2430701829771
8.0,100,1,True,7.348532814180087,597,103.0
8.0,100,2,False,7.242193998531827,591,100.37643652767093
8.0,100,2,True,7.534178476105698,591,103.0
