source,player,model,n,t20_lift_12,t20_lift_23,t20_lift_13,treble_lift_12,dir_corr,mag_corr,switch_rate,p_t20,p_k0,p_k1,p_k2,p_k3
dartsviz_pdc_2017,James Wade,A gaussian iid,15000,-0.19836331089118642,1.4142176890349079,1.0179456616430882,-0.19836331089118642,-0.008365082317307336,-0.007188388014985562,0.0,0.2932,0.3556,0.43653333333333333,0.18053333333333332,0.027333333333333334
dartsviz_pdc_2017,James Wade,B + aim rule,15000,2.3438050219552977,9.907999710606799,4.635959707779383,-0.8498936554012626,-0.0012996797871118416,-0.006645753721926455,0.1839,0.21924444444444444,0.4003333333333333,0.4274,0.15206666666666666,0.0202
dartsviz_pdc_2017,James Wade,C + wide tail,15000,4.629456621311068,13.188892978366662,4.877278000530493,0.030813972936438727,0.0008768363308616885,-0.006649755014568964,0.18073333333333333,0.2896222222222222,0.28246666666666664,0.4408,0.23286666666666667,0.043866666666666665
dartsviz_pdc_2017,James Wade,D + shared offset,15000,4.962938092287655,13.444353434721732,3.250330848331204,0.3386887486660384,3.970464075261947e-05,-0.003935610263885687,0.17953333333333332,0.2921111111111111,0.279,0.43646666666666667,0.2406,0.04393333333333333
dartsviz_pdc_2017,James Wade,E + shared scale,15000,4.911875414015099,11.96339161645398,3.8946506757840975,-0.28815055389800337,0.0028418509128625203,0.004760364493915407,0.17856666666666668,0.2925333333333333,0.2752,0.442,0.24053333333333332,0.04226666666666667
dartsviz_pdc_2017,Mensur Suljovic,OBSERVED,282,14.361702127659576,12.875816993464051,0.5319148936170193,9.042553191489361,0.015116063116104774,0.01723759483887349,0.10460992907801418,0.3546099290780142,0.2624113475177305,0.3546099290780142,0.32269503546099293,0.06028368794326241
dartsviz_pdc_2017,Mensur Suljovic,A gaussian iid,15000,-0.7920394767242489,2.0746084636288935,0.6293366149535851,-0.7920394767242489,-0.0031610143644097218,-0.0036331858164955523,0.0,0.24222222222222223,0.4382,0.4116,0.13553333333333334,0.014666666666666666
dartsviz_pdc_2017,Mensur Suljovic,B + aim rule,15000,1.470150365781428,7.029863868004377,1.8842610601194325,0.3017895597203196,0.000945874907533714,0.00021253929251578094,0.1325,0.2014,0.46126666666666666,0.40213333333333334,0.12333333333333334,0.013266666666666666
dartsviz_pdc_2017,Mensur Suljovic,C + wide tail,15000,1.137779207473738,8.17448953772244,1.6344177554607708,-0.2108626133282998,0.006036649981075398,0.001076172863893564,0.12226666666666666,0.3306,0.25393333333333334,0.4362666666666667,0.2588666666666667,0.05093333333333333
dartsviz_pdc_2017,Mensur Suljovic,D + shared offset,15000,2.586373356456578,8.670924506148802,2.110167460200385,0.5202730174035997,0.01577611240549202,0.009435873860466099,0.12006666666666667,0.3334888888888889,0.25226666666666664,0.431,0.26266666666666666,0.054066666666666666
dartsviz_pdc_2017,Mensur Suljovic,E + shared scale,15000,3.6608236005803487,9.943858628565566,3.3797617383508225,1.7476778768057644,0.005217216613559023,0.012591586933034351,0.12223333333333333,0.34724444444444447,0.24066666666666667,0.4215333333333333,0.27386666666666665,0.06393333333333333
dartsviz_pdc_2017,Simon Whitlock,OBSERVED,275,34.285714285714285,33.25175702811245,35.857142857142854,20.97359174883826,0.08196681862635725,0.043708693840877416,0.2509090909090909,0.3090909090909091,0.31636363636363635,0.27636363636363637,0.3018181818181818,0.10545454545454545
dartsviz_pdc_2017,Simon Whitlock,A gaussian iid,15000,-1.111250145135831,1.6559700837692926,0.48557742094412215,-1.111250145135831,0.0009379433418113555,-0.003829552932782431,0.0,0.2399777777777778,0.4406,0.413,0.13226666666666667,0.014133333333333333
dartsviz_pdc_2017,Simon Whitlock,B + aim rule,15000,6.594751361933131,13.153811523626702,4.798775413024314,0.39620179100251507,-0.004453357828682238,-0.001078521788754079,0.3088,0.14566666666666667,0.5153333333333333,0.37906666666666666,0.09646666666666667,0.009133333333333334
dartsviz_pdc_2017,Simon Whitlock,C + wide tail,15000,10.178306033703185,19.757699503580923,7.019084839858769,-0.057304400977997716,-0.0002032365018261632,-0.009332381644293525,0.27873333333333333,0.26722222222222225,0.28226666666666667,0.437,0.23706666666666668,0.043666666666666666
dartsviz_pdc_2017,Simon Whitlock,D + shared offset,15000,22.077857666303526,29.137079105055797,16.203985453940803,12.917850858336838,0.013233473634633418,0.036629318709300564,0.2782,0.2814,0.32226666666666665,0.3555333333333333,0.2474,0.0748
dartsviz_pdc_2017,Simon Whitlock,E + shared scale,15000,22.10660030896452,29.83779264214047,17.88883402325046,11.813223972154047,0.003547339867468926,0.07034739978176566,0.259,0.3132888888888889,0.273,0.3718,0.2588666666666667,0.09633333333333334
dartsviz_pdc_2017,Michael Smith,OBSERVED,270,30.970766685052396,28.086170134548933,31.784335355763922,11.403750689464974,0.1429820912524604,0.11847064434631974,0.28888888888888886,0.27283950617283953,0.26296296296296295,0.4185185185185185,0.24444444444444444,0.07407407407407407
dartsviz_pdc_2017,Michael Smith,A gaussian iid,15000,0.8068281404155719,0.9073444176647127,0.5714341855926897,0.8068281404155719,0.007249992844280191,0.004745900118360386,0.0,0.4384222222222222,0.1808,0.4093333333333333,0.32366666666666666,0.0862
dartsviz_pdc_2017,Michael Smith,B + aim rule,15000,6.648123516579574,13.070943949017028,5.377197735916744,-0.22165253825156273,-0.0012590693851055035,-0.002831327146056768,0.2771,0.16377777777777777,0.48006666666666664,0.3984,0.11026666666666667,0.011266666666666666
dartsviz_pdc_2017,Michael Smith,C + wide tail,15000,14.246373961546555,22.67706736503839,9.490597758145203,0.4393889207658319,6.25275507824566e-05,-0.0003984831466448632,0.22363333333333332,0.3378888888888889,0.19826666666666667,0.4198,0.30766666666666664,0.07426666666666666
dartsviz_pdc_2017,Michael Smith,D + shared offset,15000,26.011323728055412,31.77837537662178,20.1527897856261,14.812539539200598,0.011436303160279122,0.031110313609086036,0.22723333333333334,0.3330222222222222,0.2708,0.3432,0.28246666666666664,0.10353333333333334
dartsviz_pdc_2017,Michael Smith,E + shared scale,15000,19.6432043971004,28.09607542840318,15.85676587449328,6.515786287937997,-0.007135824830433614,0.032242212339319724,0.21546666666666667,0.35813333333333336,0.20646666666666666,0.3848666666666667,0.30446666666666666,0.1042
dartsviz_pdc_2017,Jelle Klaasen,OBSERVED,263,28.191268191268193,18.46271218767881,14.289674289674286,6.5696465696465705,0.04707597899191156,-0.008745875999098936,0.3745247148288973,0.21292775665399238,0.27756653992395436,0.46387832699619774,0.22433460076045628,0.034220532319391636
dartsviz_pdc_2017,Jelle Klaasen,A gaussian iid,15000,-0.9416806741230133,1.2138593358752892,1.7174576999486046,-0.9416806741230133,0.0031653792185043486,-0.003482183733009931,0.0,0.26644444444444443,0.3970666666666667,0.427,0.15546666666666667,0.020466666666666668
