source,player,model,n_train,n_test,n_params,train_ll,test_ll,test_ll_per_visit,bic,sigma,bias_x,tau,nu,eps,kappa,s_hit,s_miss,seconds,nfev
dartsviz_pdc_2017,Rob Cross,A gaussian iid,206,211,2,-68207.55146858172,-58506.006294330866,-277.27965068403256,136425.758689501,13.26396084071913,-0.17314288018752677,0.0,0.0,0.0,1.0,0.0,0.0,0.05879068374633789,62
dartsviz_pdc_2017,Rob Cross,B + aim rule,206,211,4,-1750.1943115808335,-1010.0334405287327,-4.78688834373807,3521.7001278368252,11.85366712909695,0.0212740238481677,0.0,0.0,0.0,1.0,0.09428393055938286,0.41524138900389723,0.17352890968322754,178
dartsviz_pdc_2017,Rob Cross,C + wide tail,206,211,6,-881.1111594562519,-872.4490468497866,-4.134829605923159,1794.1895759252413,8.085689366591145,0.2235919564277472,0.0,0.0,0.019760473900257428,9166558.633119272,0.09414148555893923,0.4117738161813938,11.28706955909729,896
dartsviz_pdc_2017,Rob Cross,D + shared offset,206,211,7,-880.7912008495146,-872.1510035880492,-4.133417078616347,1798.8775348805561,7.46054891646966,0.24676445826441046,3.1161281396399994,0.0,0.019764130225075865,10808484.884162111,0.09414031394740702,0.41176914222135325,106.50251531600952,2123
dartsviz_pdc_2017,Rob Cross,E + shared scale,206,211,7,-878.4079066497279,-863.8986300808151,-4.094306303700545,1794.1109464809829,7.958564855226755,0.16798889829591437,0.0,0.25757533123776266,0.019635046075142885,15944175.942542378,0.09411971741471892,0.41179534429929543,86.983882188797,1079
dartsviz_pdc_2017,Ian White,A gaussian iid,196,205,2,-39396.85558170339,-33351.97828197277,-162.69257698523302,78804.26739272525,13.37161469484825,1.1420728965187479,0.0,0.0,0.0,1.0,0.0,0.0,0.05977797508239746,61
dartsviz_pdc_2017,Ian White,B + aim rule,196,205,4,-1725.8976508750509,-1921.774375736061,-9.374509149932006,3472.9077603870237,12.79750421260939,-0.20295590539765013,0.0,0.0,0.0,1.0,0.032054135483912345,0.2717971332546469,0.185624361038208,194
dartsviz_pdc_2017,Ian White,C + wide tail,196,205,6,-893.5693908235079,-967.9167237197108,-4.721544993754687,1818.807469602399,5.897163675476364,-5.590366727867519,0.0,0.0,0.15932767693451516,5.499884375722809,0.032050291774222334,0.2695511999911771,4.870088577270508,420
dartsviz_pdc_2017,Ian White,D + shared offset,196,205,7,-887.7514968979642,-958.3828540151086,-4.675038312268822,1812.4497964105421,3.88412235145178,-5.483353229541587,4.579155071108999,0.0,0.1553262340008825,8.401277330182047,0.03205124641743637,0.26955397962330013,23.412445068359375,457
dartsviz_pdc_2017,Ian White,E + shared scale,196,205,7,-870.9678926811214,-937.4210497486224,-4.572785608529865,1778.8825879768565,7.518180429905303,-2.411330093141558,0.0,0.5530849403400692,0.21389634685958253,2.803302634477485,0.0320516288762606,0.2695574170635992,39.0051167011261,406
