design,k,n,band,sigma_true,sigma_hat,aim_error_mm
best 1,1,100,league,16.0,14.997410096335724,4.529619915407186
best 1,1,100,league,16.0,14.192528168660315,0.47140680382337147
best 1,1,100,league,16.0,14.68415954034159,3.9603586254146506
best 1,1,100,league,16.0,16.526017439513748,5.143195709026543
best 1,1,100,league,16.0,15.74690525099387,2.04262256710124
best 1,1,100,league,16.0,16.52933189911677,3.7748454883907767
best 1,1,100,league,16.0,16.719845697970154,1.8371758120179702
best 1,1,100,league,16.0,16.267409517689906,7.151445041281666
best 1,1,100,league,16.0,14.754148354184862,6.984683732158181
best 1,1,100,league,16.0,14.529511653274996,5.51915179520153
best 1,1,100,league,16.0,17.304563507543385,5.628572506191573
best 1,1,100,league,16.0,15.299053308189324,2.05600552336455
best 1,1,100,league,16.0,14.73938051586359,2.118530785544054
best 1,1,100,league,16.0,15.15334839578791,3.5920178750320404
best 1,1,100,league,16.0,16.0956486515437,1.9443421314739995
best 1,1,100,league,16.0,14.597997607118929,3.4141862506910474
best 1,1,100,league,16.0,16.182901206167944,0.7977337553323255
best 1,1,100,league,16.0,15.797310184920754,2.2507773490441947
best 1,1,100,league,16.0,14.427629455457273,7.820342585330284
best 1,1,100,league,16.0,14.160695066563989,6.398288958070174
best 1,1,100,league,16.0,13.773814158333149,3.735266157532462
best 1,1,100,league,16.0,15.854769954772646,1.898722408503668
best 1,1,100,league,16.0,14.661113248101802,3.7300820953498106
best 1,1,100,league,16.0,16.143534865755274,4.278054718614176
best 1,1,100,league,16.0,18.09848550672119,6.96678943496987
best 1,1,100,league,16.0,16.823806325435278,2.916516357114095
best 1,1,100,league,16.0,14.995658782726283,3.9265114277017448
best 1,1,100,league,16.0,15.274934712512175,8.124612592077076
best 1,1,100,league,16.0,17.484401884477943,4.137404049874269
best 1,1,100,league,16.0,17.259839068146583,3.4200538504699693
best 1,1,100,league,16.0,15.529317846789306,2.1364755487789493
best 1,1,100,league,16.0,15.097848078108015,3.046912766534068
best 1,1,100,league,16.0,17.34592878920368,2.244379892594121
best 1,1,100,league,16.0,15.528300234058772,1.6029559111532348
best 1,1,100,league,16.0,17.91973074303317,2.6234611339632505
best 1,1,100,league,16.0,17.60119965462176,1.2435246965049631
best 1,1,100,league,16.0,16.505645609364468,2.3512341444850002
best 1,1,100,league,16.0,16.970870778991763,3.7194643977036432
best 1,1,100,league,16.0,17.167586009773938,1.2474212025560734
best 1,1,100,league,16.0,16.87861650840082,3.913595564260742
best 1,1,100,league,16.0,16.34867191923601,0.8834557381916553
best 1,1,100,league,16.0,13.61775339954541,8.612805317558923
best 1,1,100,league,16.0,15.20316463451875,6.645524351566036
best 1,1,100,league,16.0,10.916451450454048,18.90576491458304
best 1,1,100,league,16.0,15.831293288788086,1.6253572616449243
best 1,1,100,league,16.0,16.402429154893902,2.778579045480892
best 1,1,100,league,16.0,14.911482024729432,2.662486053594232
best 1,1,100,league,16.0,17.110888086263923,1.1801293206569472
best 1,1,100,league,16.0,14.21691661946482,5.025242658479055
best 1,1,100,league,16.0,15.876174336558206,1.5146212321986567
best 1,1,100,league,16.0,17.171239165092032,1.6639849218452278
best 1,1,100,league,16.0,15.236349586052592,3.9505102375906525
best 1,1,100,league,16.0,16.130434350743673,5.399101624632356
best 1,1,100,league,16.0,15.423328180875044,1.436603192703282
best 1,1,100,league,16.0,18.65262289721034,2.5897920441503897
best 1,1,100,league,16.0,16.770515823602665,3.2983907873640974
best 1,1,100,league,16.0,15.397994992308833,5.795819600663512
best 1,1,100,league,16.0,16.40950342314111,5.628036318496891
best 1,1,100,league,16.0,15.280898968802035,5.618067036629994
best 1,1,100,league,16.0,16.50575219737213,2.1590254340845956
best 1,1,100,league,16.0,16.97844050673324,2.2308416100975683
best 1,1,100,league,16.0,15.841121763995773,4.823516561862756
best 1,1,100,league,16.0,15.681732732343718,4.49437004267498
best 1,1,100,league,16.0,15.024527263122469,1.3662128561591445
best 1,1,100,league,16.0,16.5750652268577,3.8405011560906313
best 1,1,100,league,16.0,16.33780719613725,1.0141894031504632
best 1,1,100,league,16.0,15.420248710078976,3.6715751191057056
best 1,1,100,league,16.0,16.12105528143755,3.432346760007322
best 1,1,100,league,16.0,14.436847105355394,4.026836424905735
best 1,1,100,league,16.0,17.169074325765457,4.024039489849094
best 1,1,100,league,16.0,16.5961857029256,5.378972790883741
best 1,1,100,league,16.0,15.382005364934862,6.416759065911022
best 1,1,100,league,16.0,17.146833003238697,2.0139234291624457
best 1,1,100,league,16.0,14.781158664131036,5.369907033340655
best 1,1,100,league,16.0,15.427880003027763,0.6194507993216523
best 1,1,100,league,16.0,16.748049621434383,0.54363388586536
best 1,1,100,league,16.0,15.715857979873604,1.8197897022119738
best 1,1,100,league,16.0,15.422458987563024,4.889678406197407
